cut,flute_1,flute_2,flute_3
1,31.41635516,19.48369225,21.74806264
2,34.8927704,23.473047,24.92595987
3,38.10284657,27.17286849,27.89865916
4,41.06102301,30.59930868,30.67784802
5,43.78119133,33.76786983,33.27472071
6,46.27671037,36.69342355,35.6999933
7,48.56042098,39.39022937,37.96391852
8,50.64466037,41.87195302,40.07630017
9,52.54127629,44.15168423,42.04650728
10,54.26164088,46.24195416,43.88348786
11,55.81666418,48.15475251,45.59578247
12,57.21680745,49.90154413,47.19153732
13,58.47209617,51.49328539,48.67851721
14,59.59213275,52.9404401,50.06411807
15,60.58610902,54.25299511,51.35537927
16,61.46281844,55.44047554,52.55899557
17,62.23066801,56.51195964,53.68132888
18,62.89769001,57.47609342,54.72841962
19,63.47155339,58.34110474,55.70599795
20,63.959575,59.1148173,56.61949457
21,64.36873051,59.80466414,57.4740514
22,64.70566514,60.41770086,58.27453188
23,64.9767041,60.96061858,59.02553109
24,65.1878629,61.43975654,59.73138559
25,65.34485725,61.86111439,60.39618301
26,65.45311297,62.23036422,61.02377139
27,65.51777545,62.55286224,61.6177683
28,65.54371906,62.83366026,62.18156971
29,65.54371906,63.07751676,62.71835863
30,65.54371906,63.28890784,63.23111352
31,65.54371906,63.47203771,63.72261651
32,65.54371906,63.6308491,64.19546132
33,65.54371906,63.76903326,64.65206107
34,65.54371906,63.89003975,65.09465581
35,65.54371906,63.99708603,65.52531985
36,65.54371906,64.09316671,65.9459689
37,65.54371906,64.18106257,66.35836702
38,65.54371906,64.26334943,66.76413333
39,65.54371906,64.34240665,67.16474862
40,65.54371906,64.42042549,67.56156165
41,65.54371906,64.49941721,67.95579535
42,65.54371906,64.58122094,68.34855283
43,65.54371906,64.66751133,68.74082317
44,65.54371906,64.75980602,69.1334871
45,65.54371906,64.85947284,69.52732244
46,65.54371906,64.96773684,69.92300941
47,65.54371906,65.08568713,70.32113581
48,65.54371906,65.21428344,70.72220197
49,65.54371906,65.35436259,71.12662555
50,65.54371906,65.50664473,71.53474627
51,65.54371906,65.67173932,71.94683041
52,65.54371906,65.85015104,72.36307514
53,65.54371906,66.04228544,72.78361282
54,65.54371906,66.24845443,73.208515
55,65.54371906,66.46888163,73.63779647
56,65.54371906,66.70370749,74.07141897
57,65.54371906,66.95299431,74.50929495
58,65.54371906,67.21673103,74.95129106
59,65.54371906,67.4948379,75.39723162
60,65.54371906,67.787171,75.84690187
61,65.54371906,68.09352659,76.3000512
62,65.54371906,68.41364529,76.75639617
63,65.54371906,68.74721616,77.21562347
64,65.54371906,69.0938806,77.67739272
65,65.54371906,69.45323612,78.14133923
66,65.54371906,69.82483999,78.60707661
67,65.58464803,70.20821271,79.07419922
68,65.89045864,70.60284141,79.54228463
69,66.21371695,71.00818308,80.01089589
70,66.55393858,71.42366764,80.47958375
71,66.9106077,71.84870103,80.94788874
72,67.28317974,72.28266799,81.41534322
73,67.67108395,72.72493484,81.88147329
74,68.07372593,73.17485215,82.34580059
75,68.49049008,73.63175725,82.8078441
76,68.92074185,74.09497664,83.26712176
77,69.36383003,74.56382831,83.72315207
78,69.8190889,75.03762397,84.17545561
79,70.28584028,75.51567114,84.6235564
80,70.76339554,75.99727516,85.06698331
81,71.25105747,76.48174113,85.50527131
82,71.74812216,76.9683757,85.93796266
83,72.25388071,77.45648882,86.36460805
84,72.76762093,77.94539538,86.78476767
85,73.28862893,78.43441676,87.19801218
86,73.81619066,78.92288232,87.60392369
87,74.3495934,79.41013074,88.00209657
88,74.88812711,79.89551141,88.39213832
89,75.4310858,80.37838559,88.77367027
90,75.97776878,80.8581276,89.14632832
91,76.52748184,81.33412589,89.50976354
92,77.07953845,81.80578408,89.86364278
93,77.6332608,82.27252187,90.20764919
94,78.18798081,82.73377594,90.54148272
95,78.74304115,83.18900074,90.86486054
96,79.29779609,83.63766927,91.17751744
97,79.85161241,84.07927373,91.47920614
98,80.40387017,84.51332619,91.76969765
99,80.95396348,84.93935911,92.04878148
100,81.50130122,85.35692589,92.31626586
101,82.04530765,85.76560133,92.57197792
102,82.58542306,86.16498203,92.81576385
103,83.12110433,86.55468673,93.04748896
104,83.65182542,86.93435665,93.26703779
105,84.17707788,87.30365573,93.47431411
106,84.69637128,87.66227089,93.66924092
107,85.20923356,88.00991211,93.85176045
108,85.71521147,88.34631267,94.02183405
109,86.2138708,88.67122916,94.17944214
110,86.7047967,88.98444158,94.32458407
111,87.18759393,89.2857533,94.45727798
112,87.66188705,89.57499109,94.57756064
113,88.12732061,89.85200505,94.68548722
114,88.58355929,90.11666848,94.78113112
115,89.030288,90.3688778,94.86458369
116,89.46721198,90.60855238,94.935954
117,89.89405683,90.83563433,94.99536852
118,90.31056855,91.05008833,95.04297086
119,90.71651354,91.25190137,95.07892145
120,91.11167857,91.44108249,95.10339716
121,91.4958707,91.61766247,95.11659101
122,91.86891723,91.78169355,95.11871175
123,92.23066559,91.93324905,95.11871175
124,92.5809832,92.07242307,95.11871175
125,92.91975736,92.19933008,95.11871175
126,93.24689504,92.31410451,95.11871175
127,93.5623227,92.41690038,95.11871175
128,93.86598613,92.50789083,95.11871175
129,94.15785016,92.58726771,95.11871175
130,94.43789847,92.6552411,95.11871175
131,94.70613329,92.71203882,95.11871175
132,94.96257518,92.75790598,95.11871175
133,95.20726268,92.79310447,95.11871175
134,95.44025205,92.81791243,95.11871175
135,95.66161694,92.83262375,95.11871175
136,95.87144806,92.83754756,95.11871175
137,96.06985284,92.83754756,95.11871175
138,96.25695507,92.83754756,95.11871175
139,96.43289455,92.83754756,95.11871175
140,96.59782671,92.83754756,95.11871175
141,96.75192223,92.83754756,95.11871175
142,96.89536664,92.83754756,95.11871175
